32	0	infobar
1	1	1	121	98	4	15	128	128
2	239	1	113	95	8	17	128	128
3	124	1	113	96	8	18	128	128
4	354	1	127	83	1	22	128	128
5	253	229	122	75	4	27	128	128
6	354	86	124	83	3	23	128	128
7	124	99	125	79	2	25	128	128
8	1	180	123	78	3	25	128	128
9	126	229	125	76	2	26	128	128
10	124	307	57	55	3	4	64	64
11	183	307	57	55	3	4	64	64
12	253	306	58	55	3	4	64	64
13	377	276	64	55	0	4	64	64
14	251	98	60	62	1	0	64	64
15	443	276	57	56	3	4	64	64
16	65	322	57	55	3	4	64	64
17	367	333	57	55	3	4	64	64
18	426	334	57	55	3	4	64	64
19	313	98	34	34	15	15	64	64
20	126	180	62	46	1	7	64	64
21	124	364	51	61	7	2	64	64
22	313	306	52	61	6	2	64	64
23	177	364	50	61	8	2	64	64
24	427	171	64	103	0	12	64	128
25	1	260	62	101	1	13	64	128
26	65	260	57	60	3	1	64	64
27	1	363	57	55	3	4	64	64
28	242	363	57	55	3	4	64	64
29	251	171	174	56	41	4	256	64
30	483	1	23	28	4	2	32	32
31	1	101	58	64	3	0	64	64
32	61	101	58	64	3	0	64	64
