80	64	rockfont
32	0	0	0	0	0	0	28	64
33	306	377	20	54	0	4	20	64
36	344	1	44	76	0	-6	44	96
39	234	207	25	25	0	33	25	64
42	234	258	52	45	0	10	52	64
43	1	149	34	37	0	11	34	64
44	234	207	25	25	0	-4	25	96
45	48	232	33	15	0	20	33	64
46	486	121	17	16	0	8	17	64
47	401	364	35	53	0	5	35	64
48	1	312	40	54	0	5	40	64
49	445	306	43	52	0	6	43	64
50	462	140	48	52	0	6	48	64
51	164	317	40	54	0	5	40	64
52	48	249	44	54	0	5	44	64
53	206	361	38	52	0	6	38	64
54	89	310	42	52	0	6	42	64
55	186	261	42	54	0	5	42	64
56	461	250	44	54	0	5	44	64
57	274	321	40	54	0	5	40	64
58	371	79	17	38	0	8	17	64
59	486	72	25	47	0	-1	25	96
60	482	360	28	56	0	4	28	56
61	48	199	33	31	0	8	33	64
62	164	373	28	56	0	4	28	56
63	309	204	40	59	0	4	40	64
64	390	1	56	57	0	4	56	64
65	59	73	55	54	0	5	55	64
66	397	308	41	54	0	5	41	64
67	288	265	42	54	0	5	42	64
68	139	142	46	54	0	5	46	64
69	440	360	40	54	0	5	40	64
70	43	361	38	54	0	5	38	64
71	230	305	42	54	0	5	42	64
72	399	252	44	54	0	5	44	64
73	121	386	20	54	0	5	20	64
74	83	364	36	54	0	5	36	64
75	94	254	44	54	0	5	44	64
76	1	255	42	55	0	4	42	64
77	139	198	45	54	0	5	45	64
78	1	199	45	54	0	5	45	64
79	140	254	44	54	0	5	44	64
80	351	257	44	52	0	6	44	64
81	353	200	44	55	0	4	44	64
82	261	204	46	52	0	6	46	64
83	45	305	42	54	0	5	42	64
84	89	142	48	52	0	6	48	64
85	305	148	46	54	0	5	46	64
86	462	194	46	54	0	5	46	64
87	89	196	48	51	0	6	48	64
88	186	207	46	52	0	6	46	64
89	413	196	46	54	0	5	46	64
90	413	140	47	54	0	5	47	64
91	133	310	29	74	0	-6	29	96
92	1	368	32	57	0	4	32	64
93	332	311	29	74	0	-6	29	96
95	48	232	33	15	0	0	33	64
96	187	142	30	55	1	5	32	64
126	1	1	56	79	0	-2	56	96
192	173	1	55	68	0	5	55	96
193	116	1	55	69	0	5	55	96
194	230	1	55	67	0	5	55	96
196	287	1	55	67	0	5	55	96
197	59	1	55	70	0	5	55	96
199	261	140	42	62	0	-3	42	96
200	371	130	40	68	0	5	40	96
201	47	129	40	68	0	5	40	96
202	219	139	40	66	0	5	40	96
204	246	377	29	52	0	5	29	64
205	277	377	27	53	0	5	27	64
206	363	364	36	52	0	5	36	96
209	278	70	45	68	0	5	45	96
210	116	72	44	68	0	5	44	96
211	173	71	44	69	0	5	44	96
212	1	82	44	65	0	5	44	96
214	325	79	44	67	0	5	44	96
217	390	60	46	68	0	5	46	96
218	448	1	46	69	0	5	46	96
219	438	72	46	66	0	5	46	96
220	230	70	46	67	0	5	46	96
